category,cluster,item_count,source_count,demand,policy_gap,urgency,feasibility,evidence_confidence,priority_score,status,recommended_action,representative_titles
다자녀·양육비·생활지원,임신·출산 이용기준,9,1,56,82,45,60,50,60,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,다둥이 단축 근무시간 시행부탁합니다 | 다둥이 워킹맘 근무시간단축해주세요 | 다둥이 워킹맘 근무단축제 시행
보육·돌봄 인프라,임신·출산 이용기준,4,1,46,82,55,60,50,59,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,장난감도서관의 소독시간 폐지 | 국공립 유치원 등하원 차량운행 요청 | 코로나 아동수당(긴급돌봄쿠폰) 관련
정보·상담·교육·거버넌스,돌봄·보육 접근성,5,1,49,82,55,45,50,58,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,어린이보호구역 시간제 운영 | 유급 육아시간 확대 사용 건의 | 영유아 화상사고에 관련한 대책 문의
주거·교통·도시생활환경,주거·이동 환경,15,2,62,58,55,60,56,58,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의 | 한부모 가정 자립 지원을 위한 통합형 + 주거연계 모델 도입 제안 | 신혼부부 주거 지원정책
보육·돌봄 인프라,주거·이동 환경,9,2,56,62,55,60,56,58,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"고등학생 하원 택시 운영제도 | 서울시시립 어린이병원 주차장(내곡동) | 새문안로, 새문안로 2길, 3길 교통신호 변경 및 도로 확장을 해 주세요. 아이들의 등원길이 위협받고 있습니다."
취약·다양가족 사각지대,기타·추가 검토,6,1,51,82,45,45,50,57,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"하위계층, 한부모가정 지원혜택 철저히 조사 | 미혼모 미혼부 | 소득제한을 두지 않는 보편적 한부모 혜택"
정보·상담·교육·거버넌스,의료비·경제 부담,6,1,51,82,45,45,50,57,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,교재비 지원 | 서울런 교재비 지원금을 늘려주세요. | 육아수당이나 출생지원금이나 좀 제발 국민좀 챙겨요
보육·돌봄 인프라,의료 접근성,15,2,62,50,55,60,56,56,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화 | 시간제보육 사전 예약없이 이용할 수 있게 해주세요 | [시민규제발굴단]교육부 아이사랑 앱 시간제보육 예약 설정 재검토
출산·산후 초기지원,주거·이동 환경,22,2,67,41,55,60,56,56,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,자녀출산 무주택가구 주거비 지원사업에 대하여 강력하게 문의합니다 | 영유아 가정에 '거주자우선주차' 가산점을 드리면 어떨까요? 저출산 극복! | 자녀 출산 무주택 가구 주거비 지원 정책 조건 완화 제안
임신·난임·생식건강,기타·추가 검토,3,1,43,82,45,60,50,56,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다. | 난자냉동 지원 나이를 만28세로 하향해주세요. | 보건소 난소나이검사(AMH) 실리적인 기준 확대 요청의 건.
출산·산후 초기지원,기타·추가 검토,5,1,49,82,45,45,50,56,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,sh 행복주택 신생아 최우선 공급관련 건의합니다 | 신생아를 보려면 백일해 예방접종을 해야 합니다 | 서울시 관내의 모유수유시설의 한글 명칭과 영문 명칭 통일 해 주세요.
임신·난임·생식건강,의료비·경제 부담,13,2,60,45,55,60,56,55,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,난임부부지원사업 관련 | 난임지원 7월 바뀐 정책에 관해서 | 난임지원금
보육·돌봄 인프라,정보·신청 접근성,31,2,71,34,55,60,56,55,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,영유아쉼터나 유아휴게실 | [시민규제발굴단] 어린이집 등 입소 관련 증빙서류 반복 제출 폐지 | [시민규제발굴단] 시간제보육신청 당일예약 신청
주거·교통·도시생활환경,정보·신청 접근성,7,2,53,65,45,60,56,55,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,서울시 신혼부부 이자지원 사업 | 서울시 신혼부부 결혼살림비 지원 | 서울시 신혼부부 전세대출
취약·다양가족 사각지대,정신건강·상담,2,1,40,82,45,60,50,55,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,한부모 가정에게 상담 치료 바우처 지원을 제안합니다. | 미혼모 정서적 지원시스템 개설요청
다자녀·양육비·생활지원,정보·신청 접근성,28,2,70,31,55,60,56,54,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안 | 다둥이카드 앱카드 활용불가 | 다자녀 할인 공통 적용
정보·상담·교육·거버넌스,정보·신청 접근성,9,2,56,49,55,60,56,54,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,지역구 유아수영프로그램 시설문의 | 동네 나눔 육아 50+어벤져스 | 초등 온라인개학이 직장부모 자녀의 교육 불평등이 이어지지 않을 대책이 필요합니다.
주거·교통·도시생활환경,의료비·경제 부담,6,2,51,62,45,60,56,54,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,신혼부부 전세대출 개선 | 서울시 신혼부부 전세대출 한도 증액 | 서울시 신혼부부 임차보증금 이자지원사업 추가 이자지원금리 적용시점
보육·돌봄 인프라,정신건강·상담,8,2,54,44,55,60,56,53,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,키움센터 추가 개소는 어려울까요 | 우리동네키움센터 증설 요청 드립니다 | 코로나 예방접종 예진에 대한 제안
일·가정 양립·부모 노동,돌봄·보육 접근성,1,1,34,82,45,60,50,53,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,육아휴직과 근로시간에 대해
취약·다양가족 사각지대,의료 접근성,1,1,34,82,45,60,50,53,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,경제적자립지원 (미혼모)
정보·상담·교육·거버넌스,임신·출산 이용기준,2,1,40,82,45,45,50,53,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,경로당과 육아돌보미의 결합 | 육아열차운행
주거·교통·도시생활환경,정신건강·상담,1,1,34,82,45,60,50,53,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,신혼부부 전세 혜택 기준
취약·다양가족 사각지대,주거·이동 환경,1,1,34,82,45,60,50,53,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,한부모가구 cctv지원
출산·산후 초기지원,돌봄·보육 접근성,35,1,73,22,55,60,50,52,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,공교육 정상화(~고등학교 졸업)저출산 극복 | 국공립어린이집 위탁원장의 출산휴가 인건비 보조금 집행 관련 행정기관의 협조 | 5인 이상 직장 내 탁아소 등 설치 의무화 확대 및 보육 환경 개선을 통한 출산 장려 제안
출산·산후 초기지원,의료비·경제 부담,24,2,68,27,55,60,56,52,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"지자체별 출산지원금 통일 지급 | 저출산 대책 베이비씨터 돌봄비용 | 4대보험(국민연금, 건강보험, 고용보험, 산재보험)과 함께 출산양육보험을 더하여 5대보험(국민연금, 출산양육보험, 건강보험, 고용보험, 산재보험)을 만드는 것을 생각해봅니다."
임신·난임·생식건강,의료 접근성,7,2,53,39,55,60,56,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,난임 주사 보건소 | 난임환자를위해 힘써주세요 | 다운증후군 등 중증 기형 확진 시 합법적 임신중절 허용 및 국가 지원 제도 마련
출산·산후 초기지원,정보·신청 접근성,27,1,69,22,55,60,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,대한민국 결혼율 출산율 개선 방안(청년 관계증진 지원사업) | [저출산 극복] 전국 공공체육시설(수영장 등) 다자녀 우대 혜택의 전국적 확대 및 국비 지원 제안 | 저출산 시대의 학교 유휴공간 활용을 위한 이동형 평생교육원 제도 도입 및 평생교육사 1인 기업 등록 허용 방안
주거·교통·도시생활환경,돌봄·보육 접근성,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,유아차런 유아 참여 연령 상향
취약·다양가족 사각지대,의료비·경제 부담,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,한부모 가정 혜택 요청
주거·교통·도시생활환경,임신·출산 이용기준,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,신혼부부만 서울시 시민인가요??
일·가정 양립·부모 노동,임신·출산 이용기준,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,육아휴직 2년으로
취약·다양가족 사각지대,임신·출산 이용기준,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,미혼모라는 정의를 바꿔주세요
정보·상담·교육·거버넌스,정신건강·상담,1,1,34,82,45,45,50,51,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,공동육아  참여하는 부모님들 위한 심리 프로그램 마련해주세요!
정보·상담·교육·거버넌스,의료 접근성,2,2,40,52,55,60,56,50,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"야간 어린이 보호구역 30km속도제한 해제 | 청소년 정신건강 위기대응을 위한 권역별 정신응급입원치료 거점병원 확충 제안 - 저출산 시대, 한 명의 청소년도 놓치지 않는 정신건강 안전망 구축 -"
보육·돌봄 인프라,의료비·경제 부담,13,2,60,36,45,60,56,50,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급) | 강북구 유치원 교사 구청 지원금 | 길고양이 입양시 중성화 수술, 예방접종 비용 지원 및 쉼터조성을 통한 길고양이 관련 민원 해소 대책 마련"
임신·난임·생식건강,정보·신청 접근성,9,2,56,29,55,60,56,49,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,서울시 외국인 임산부 교통비지원 | 서울시 임신 출산 정보센터 누리집의 '임신 사전건강관리 지원'에 신청대상 추가 | 한시적 해외파견근로자 및 기간제 주재원의 국내 복귀 지원을 위한 주택출산양육 제도 개선
일·가정 양립·부모 노동,정보·신청 접근성,18,1,64,22,55,60,50,49,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"공무원 육아휴직 중 단기 해외방문 제한 규정 개선 제안 | [저출생 대응적극행정] 육아휴직 급여 신청 제로(Zero) 시대, 권리 자동보장 시스템 즉시 구축 | 공공기관 기간제육아휴직 대체근로자 고용 사각지대 해소 및 정규직 전환경영평가 연계 제도 개선 제안"
일·가정 양립·부모 노동,기타·추가 검토,6,2,51,42,45,60,56,49,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"육아휴직 가능한 자녀연령을 만 15세까지로 연장하고, 비공무원과 공무원 모두 육아휴직 3년과 육아기 2시간단축근무 당장 시행해주세요!! | 10월1일부터 개정되는 육아휴직관련법안관련 | 공무원 육아휴직 제도 관련 제도개선 건의"
다자녀·양육비·생활지원,의료비·경제 부담,6,2,51,42,45,60,56,49,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"조건없는 다자녀 교육혜택확대 방안 | 기저귀 전용 배출봉투 제작, 배포 | 상설 육아 플리마켓 추진"
일·가정 양립·부모 노동,의료비·경제 부담,5,2,49,34,45,60,56,46,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,육아휴직 프리랜서 자영업 개선 | 육아휴직후 권고사직에 대한 실업급여 지급불가에 대한 부당함 | 육아기 근로시간 단축 업무분담 지원금의 직접 지급 방식 개선 요청
임신·난임·생식건강,돌봄·보육 접근성,5,1,49,22,55,60,50,45,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,AI 기반 출산육아돌봄 통합지원 플랫폼 구축제안 | 어린이집 대란 완화 방안(민원아님) | 가치자람 온동네 돌봄119: 충북 돌봄공백 제로루프 안심연결서비스
출산·산후 초기지원,정신건강·상담,2,1,40,22,55,60,50,42,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"(저출산_양육)돌봄기관-24시간 육아상담-의료기관 연계형 아동 컨디션 대응 표준 프로토콜 도입 제안 | 장기요양기관 근로자 겸 대표에게 ""출산 후 주 60시간 근무""가 아닌 ""일과 가정의 양립""을 보장해주세요제안"
출산·산후 초기지원,의료 접근성,1,1,34,22,55,60,50,40,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,[저출산고령사회위원회 이송 요청건] 생애주기 통합 선순환 시스템
취약·다양가족 사각지대,정보·신청 접근성,1,1,34,22,45,60,50,38,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,명칭 변경 미혼모/부 아닌 비혼모/부로 정정해주시길 바랍니다.
일·가정 양립·부모 노동,정신건강·상담,1,1,34,22,45,60,50,38,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,자녀 1명당 육아휴직 총 3년을 부모가 자율적으로 배분할 수 있도록 제도 개선을 제안합니다
임신·난임·생식건강,정신건강·상담,1,1,34,22,45,45,50,36,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,보건소에서 난임심리 상담 및 배우자 난임 교육 부탁드립니다
