제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,크롤링상태,보정필터_소스
PROP-200754,서울형키즈카페,서울형키즈카페,2025-10-30,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200754,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,,"서울형 키즈카페 너무 만족스럽습니다
요즘 조금씩 더 많은지역에 생기는것 같은데
천왕역(7호선) 근처에도 하나 만들어주세요
이용할 사람 은근 많아요",웹크롤링 성공,검증용137_웹본문포함
PROP-200525,아이들이 등하교를 안전하게 다닐 수 있도록 개정이 필요합니다.,아이들이 등하교를 안전하게 다닐 수 있도록 개정이 필요합니다.,2025-09-26,2025,106.0,1,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200525,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,"출산, 유치원",상,직접관련,아동_안전환경: 안전 + 아이,기존 1차 직접키워드 수집,,"서울 강서구 화곡동에 위치한 우장산 숲 아이파크에 거주 하는 주민입니다. 현재 이 아파트의 초등학교 배정 학교는 화곡초등학교입니다.
이 학교는 현재 공사 중이라 당분 간 신월초등학교로 이전하여 학업 중에 있는 것으로 알고 있습니다.
문제는 아파트에서 화곡초로 가기 위해서는 차량이 지나가는 좁은 골목길을 지나 화곡로라는 큰 길을 건너 다시 차량이 지나가는 골목길로 더 들어가야 학교 정문이 나옵니다.
이러한 동선은 아이들이 안전하게 등하교를 할수 없는 매우 위험한 상황이라고 보입니다. 특히 빠른 배달 처리를 위해 쌩쌩 달리는 오토바이 기사들을 볼 때면 불안과 우려가 증폭 시킬 뿐더러 더욱이 신월초는 강서로와 화곡로 두 큰 길을 건너가야 되고 화곡역 번화가와 가까워 아이들의 정서에 이롭지 못한 분위기가 있습니다.
또한 강서힐스테이트 134동 앞 게이트에서 우장초등학교 정문까지 500m정도 밖에 안되는데 셔틀버스타고 다니는 반면 우장산숲아이파크 후문에서 화곡초등학교 정문까지 600m가 넘어가고 신월초등학교 정문까지 900m가 넘는데도 걸어서 등하교를 해야하는 형평성 부분에서 문제가 발생하고 있습니다.
이러한 점을 감안하여 배정 문제에 대한 해결이 필요해 보입니다.
개선 방안을 3가지로 만들 수 있습니다.
1. 셔틀버스가 다니는 우장초등학교로 배정학교를 변경한다.
2. 신월초나 화곡초에 셔틀버스를 운행한다.
3. 현재 오랫동안 공실 중인 윤희유치원 건물을 화곡초 분교로 만든다.
윤희유치원 건물은 사유지이긴 하나 오랬동안 공실로 방치하고 있어 사용하는 방안에 대해 건물주와 협의는 충분히 만들어 낼수 있지 않을까 봅니다.
현 정부에 들어 중대재해처벌법으로 근로자들의 안전을 강화하는 조치가 시행 되는 사례가 생겨나고 있습니다. 반면 저출산으로 인해 아이들의 귀해지는 현 시대에 무관심으로 일관하는지 모르겠습니다.
심지어 작년에 도로 폭, 단지와 학교, 차선 갯수 횡단보도 건너는 횟수까지 적어서 민원 넣었는데 돌아온 답변은 8차선 도로 2번 건너는게 2차선 도로 1번 건너는것 보다 안전하다는 답변을 받은
사례도 있습니다.
어린 생명이 위협받는 중대한 사안에 대해 이러한 시대착오적인 잘못된 고정관념으로 인해 요청을 거부하거나 단순하게 처리하는 일이 있어서는 절대 안됩니다.
아이들이 차량이 지나가는 좁은 골목길을 걷고 큰 길을 횡단하지 않는 방향으로 맞벌이를 하는 부모님이 고생하면서 픽하지 않고 안심하게 혼자서 안전한 등하교를 할수 있는 그런 개정이 절실히 필요하며 첨부파일을 첨부하오니 확인하시고 서울시 교육청과 함께 실사를 진행해 빠르게 추진해주시면 좋겠습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-200421,[시민규제발굴단] 청약시 자녀수에 대한 가산점 확대,[시민규제발굴단] 청약시 자녀수에 대한 가산점 확대,2025-09-18,2025,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200421,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,영유아,상,직접관련,주거·대출: 청약 + 자녀,기존 1차 직접키워드 수집,,"청약시 영유아 자녀에 한해 가산점을 주고 있으나 영유아에 대한 가산점처럼  자녀수에 대한 가산점이 확대 되었으면 합니다.
예)자녀당 +5가 아니라
1자녀시 5점,  2자녀시 10+5점, 3자녀시 15+10 점 같이 자녀수에 따른 청약시 가산점이 큰폭으로 늘어나가는 것을 제안하고 싶습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-200141,서울형키즈카페 이용연령 확장부탁,서울형키즈카페 이용연령 확장부탁,2025-08-06,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200141,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,"임신, 어린이집",상,직접관련,서울형키즈카페,기존 1차 직접키워드 수집,,"서울형키즈카페를 잘 이용하고있는 아기엄마 입니다~
안전상의 문제로 키즈카페에 연령제한이 있는걸로 알고있는데요,
3세 이상부터 가능한 키즈카페는 보통 오전에는 아이들이 어린이집에 가서 카페에 잘 없는것 같더라구요.
집 바로앞에 보라매공원 서울형키즈카페가 새로 오픈했는데 보니까 3세 이상이여서
17개월인 우리아기는 가까워도 이용을 못해서 좀 아쉽더라고요. 둘째 임신중이라 멀리 나가기가 힘들어서 가까운데 생겨 좋았는데, 큰 아이들이 어린이집에 가있는 오전시간에만이라도 서울형키즈카페를 사용할수있게 요청드리고 싶습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-200103,가정내 돌봄종사자 무료예방접종,가정내 돌봄종사자 무료예방접종,2025-07-28,2025,69.0,3,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200103,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,"임산부, 산후, 신생아",상,직접관련,예방접종,기존 1차 직접키워드 수집,,"서울형가사서비스 종사자입니다.
지난 7월 3일 영등포구의 ""이주 노동자 생수나눔 & 좋은돌봄 캠페인""에서 만난 가사노동자분께서 지난 6월에 영등포구의 돌봄종사자를 위해 백일해 무료예방접종을 실시하였다는 말을 들었습니다.
서울형가사서비스는 임산부, 신생아, 18세이하 청소년가정에 가사스비스를 하는 일로 가족구성원과 직접 대면하기 때문에 만약 가사관리사가 약간의 기침만 해도 부모들은 불편해하고 서비스받기를 꺼려합니다.
또한 가사노동자들 대부분은 경제적으로 여유가 없고, 고령의 노동자가라 취약한 건강조건을 가지고 있어서 독감등 호흡기 질환에 쉽게 노출되기도합니다.
가정내 돌봄종사자 (가사관리사, 장애인활동지원사, 아이돌보미, 산후관리사, 생활지원사, 요양보호사 등)에게 독감, 백일해등 유행성 전염병에 대한 무료 예방접종을 희망합니다.
가정내 돌봄 지원시 최우선 시행되어야 하는 일이라고 생각합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-199817,도로상 어린이보호구역 내 사고율 저하를 위한 제안 드립니다.,도로상 어린이보호구역 내 사고율 저하를 위한 제안 드립니다.,2025-06-23,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199817,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,"출산, 어린이집, 유치원",상,직접관련,아동_안전환경: 보호구역 + 어린이,기존 1차 직접키워드 수집,,"안녕하세요.
서울 시민 중 한 사람이자 한 아이의 아빠 입니다.
길을 지나다니다 보면 어린이 보호 구역 내지는 노인 보호 구역 등에서
30km/h 또는 50km/h의 속도 제한이 있긴 하지만 이 또한 카메라 단속 구간에서만
규정 속도를 지키고 그 외 구간에서는 속도를 내는 일부 몰지각한 사람들이 더러 있습니다.
또한 학교나 어린이집/유치원 등의 뒷골목 등의 좁은 길에는 단속 카메라 마저 없습니다.
이런 곳에서 부주의 하게 과속 하는 운전자들을 많이 보게 됩니다.
특히 택배와 배달이 난무하는 대한민국 서울특별시 에서는 더더욱 많이 보입니다.
특정 구간에만 설치되어 있는 단속 카메라로 이들을 말리기엔 부족해 보입니다.
차라리 공사 구간 또는 고속도로 터널 진출입로 등 처럼 바닥을 오목 하게 교차하여 파던지
-> [凹凹凹凹凹凹凹凹凹凹(오목 요) 형태]
그게 아니라면 과속방지턱을 현 형태의 큰 모양이 아니라 작은 돌기 형태로 구간 내에 길게 설치 하여
속도를 내어 달리면 차량이 심하게 흔들거리게 되어 속도를 내기가 힘들게 만들어 버리는 게 어떨까 합니다.
-> [△△△△△△△△△△(볼록 철) 형태]
(-볼록 철 자가 금칙어 요건에 들어가서 등록이 안되네요...손가락 욕 같아서 인가요...)
아이를 키우고 있는 입장에서 저출산 때문에 문제가 커지고 있는 대한민국의 현재라면
비용이 문제가 되어서 못하는 부분은 아니라고 생각이 됩니다.
부디 아이디어를 적극 활용 해주셔서 대한민국의 미래인 아이들이
좀 더 살기 좋고 좀 더 건강하게 자랄 수 있도록 해주세요.
피해를 입는 아이들이 여러분들의 아이이자 가족 일수도 있고 핏줄 일수도 있습니다.
보다 나은 대한민국을 위해 간곡히 부탁 드립니다.
긴 글 읽어 주셔서 감사합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-199768,서울형키즈카페 양말판매 건의,서울형키즈카페 양말판매 건의,2025-06-15,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199768,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,,"서울형키즈카페를 자주 이용하는 아이엄마입니다. 날씨가 더워지면서 양말 착용없이 서울형키즈카페를 오시는 보호자들이 많이 보이는데요. 양말착용의무에 대해 잘 모르시는 거 같기도하고. 주변에 양말 구입할 곳이 없기도 하고. 이미 키즈카페 입구까지 온 상황에서 보호자와 직원들 모두 난감한 듯한 상황을 여러번 보았습니다. 키즈카페에서 구비해둔 아이들 임시슬리퍼 같은 걸 대여해주는 것을 본적이 있는데요. 보호자들은 실내슬리퍼를 빌려주시는 거 같더라고요.
키즈카페 내 위생 및 양말 착용에 주의를 가질 수 있도록 소정의 금액(천원정도)을 받고 양말을 판매하시는 건 어떤지 건의드립니다. 그러면 키즈카페 내 직원들도 양말없이 방문한 가족에게 양말 착용의무에 대해 재설명하고 양말을 현장서 구입해 신고 입장할 수 있도록 하는는 게 좋을 거 같다는 생각이 듭니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-199452,서울형키즈카페,서울형키즈카페,2025-04-28,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199452,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,,공휴일이나 임시공휴일도 운영하면 좋겠습니다.,웹크롤링 성공,검증용137_웹본문포함
PROP-199153,어린이 차량갇힘사고 예방 등을 위한 이동형 안전체험버스 제작,어린이 차량갇힘사고 예방 등을 위한 이동형 안전체험버스 제작,2025-04-05,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199153,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,어린이집,상,직접관련,아동_안전환경: 안전 + 어린이,기존 1차 직접키워드 수집,,"현황 및 문제점
교육이 가장 필요한 어린이들이 체험관에 직접 방문하여 이용하기는 어려우니
체험교육장비가 장착된 이동형 안전체험버스를 제작하여 어린이집으로 직접 방문하여 어린이들이 안전교육을 받을 수 있게 되면 안전사고를 더 효과적으로 예방할 수 있을 것 같음
또한 교육시설은 전 연령이 함께 이용할 수 있도록 제작하기 보다는 차량 내 갇힘사고 시 대응요령 등 어린이들에게 특화된 안전체험으로 제작하였으면 좋겠음
개선방안
이동형 안전체험버스 제작 및 운영
- 차량 내 체험장비 : 어린이가 차량에 갇혔을 때 행동요령 체험공간, 화재 및 전기 안전 등 체험공간, 영상교육장치 등
(그 외 어린이에게 특화된 체험공간)
기대효과
공간에 제약을 받지 않고 교육을 받을 수 있어 이동이 어려운 안전취약계층의 위급상황 대처능력 제고",웹크롤링 성공,검증용137_웹본문포함
PROP-199043,따릉이를 만 13세 미만 어린이가 이용할 때 안전 보호 책임자 변경,따릉이를 만 13세 미만 어린이가 이용할 때 안전 보호 책임자 변경,2025-03-29,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199043,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,아동_안전환경: 안전 + 부모,중,조합관련,아동_안전환경: 안전 + 어린이,2차 문맥조합 수집,,"현황 및 문제점
---
‘가족 인증’의 목적은 보호자에게 어린이 안전 보호 책임을 부여하는 데 있습니다. 법적, 정서적으로 밀접한 부모가 어린이 안전모 착용, 자전거 이상점검 등의 지도감독 의무를 성실히 이행할 것이라고 판단하여 보호자의 범위를 부모로 한정한 점 이해하여 주시기 바랍니다.
---
다만 부모 중에 법적으로 어린이 안전 보호 책임을 부여를 못하는 사람들도 있습니다.
또한 부모가 아닌 아이의 후견인은 법적으로 어린이 안전 보호 책임을 질 수 있지만 후견인의 책임으로 따릉이를 대여할 수 없습니다.
개선방안
1. 행정안전부의 실시간정보유통시스템을 활용하여 부모의 후견등기사항부존재증명서(전체)를 발급하여 각각의 부모에 대한 후견인이 존재하지 않는 사람만 어린이 안전 보호 책임을 부여를 할 수 있도록 합니다.
2. 대상 어린이의 후견등기사항증명서(현재)를 조회하여 이 어린이의 후견인이 따릉이를 대여할 수 있도록 합니다.
기대효과
1. 자격이 없는 부모는 따릉이에 대한 어린이 안전 보호 책임자가 되지 않도록 합니다.
2. 자격있는 후견인이 따릉이에 대한 어린이 안전 보호 책임자가 될 수 있습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-198861,아이들.청소년을위한공간들,아이들.청소년을위한공간들,2025-03-22,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198861,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,한부모,상,직접관련,공간·편의시설: 공간 + 아이,기존 1차 직접키워드 수집,,"안녕하세요.어린이들과 청소년을위한 공간..
난나..청소년센터에대해 규제철폐를 요청합니다
한부모.저소득아이들을위해 저렴하게..혹은 무상으로 아이들운동과 예술분야늘 배울수있는 좋은공간이라고생각하는데요..초1부터 여러가지배울수 있다는 장점이있는반면 혜택을받으려면 만9세가 넘어야한다는데..3학년이지만  12월생인 아이들은 만9세가 되지않는다는 이유로 혜택을못받고 전액수강료를 지급해야만 된다는데요..초1..학교를 다니고있다면 혜택을받을수있게 규제를 바꿔주시길바랍니다",웹크롤링 성공,검증용137_웹본문포함
