제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,크롤링상태,보정필터_소스
PROP-198203,야간 어린이 보호구역 30km속도제한 해제,야간 어린이 보호구역 30km속도제한 해제,2025-02-17,2025,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198203,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족","어린이 보호구역 속도 제한에 관해서
어린이 보호구역 속도 제한에 동의하지만
어린이를 보호하는 목적으로 생긴 속도제한이
야간에도 이뤄지는게 맞는건가 싶은 생각을
갖고있던 사람으로 제안 드립니다
최소 00시부터 06시까지는 어린이 보호구역
속도제한 단속이 해제 되어야된다고 생각합니다
어린이 통학시간도 아니고 어린이들이 없는 시간까지 속도제한과 단속이 이뤄진다는게 주변학교가 많은곳에 사는 사람으로 매우 불편함을 느낍니다
어린이 보호 목적은 좋지만 버스전용도로 단속과 같이 일정 시간에는 풀어주는것도 좋은거같습니다",웹크롤링 성공,검증용137_웹본문포함
PROP-197999,어린이보호구역,어린이보호구역,2025-02-08,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197999,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"？어린이보호구역  자동차속도 제한
일요일과 공휴일, 폐지 평일은
오후 7시이후 부터 오전7까지 속도제한  풀어주실 수는 없는건지 건의 드립니다",웹크롤링 성공,검증용137_웹본문포함
PROP-197993,어린이 ㆍ노인 보호구역 시차제 적용,어린이 ㆍ노인 보호구역 시차제 적용,2025-02-07,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197993,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족","관악구 인헌초등학교 ~ 서울과학전시관까지 어린이 보호구역과 노인보호구역 지정뿐 아니라  서울시민대학 다시가는 캠퍼스 (구, 관악복합평생교육센터)로 인해 , 과속방지 후면 카메라 단속도 실시되어 30  50  속도로 차량이동이 이루어지고 있다. 인헌동 주민들도 낙성대 터널을 경유하여 서울대입구 지하철 방면으로 이동시에 통과하는 지역이고,  반대로 인헌동으로 가기 위해 거치는 도로인데 ,  주로 어린이 노인이 이용하는 평일 0900~1800을 제외한  시차제라도 도입해 주었으면 한다 (물론 단속을 다소 완화해 주면 더 좋겠지만 ？)",웹크롤링 성공,검증용137_웹본문포함
PROP-197934,어린이보호구역,어린이보호구역,2025-02-05,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197934,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이보호구역 시속30키로 규제를 심야시간과 주말,공휴일은 해제했으면 합니다",웹크롤링 성공,검증용137_웹본문포함
PROP-197901,도서관 가족회원 통합의 건,도서관 가족회원 통합의 건,2025-02-04,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197901,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 도서관 + 가족,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"최근 도서관을 자주 이용하게 되면서 불편한 점이 있어 개선 요청 드립니다.
현재 도서관 회원에 가입 및 가족회원으로 등록히게 되면 가족이 같이 가지 않아도 깉이 빌릴 수 있게 되어있습니다.
이는 너무 좋으나 홈페이지에서 검색했을때는 가족이 대여한 도서 목록은 함께 검색이 되지 않아 건건이 로그인을 해서 반납일 등을 확인해야하는 번거로움이 있습니다.
가족회원으로 등록된 경우 한 아이디로 로그인시에도 타 가족의 도서 목록도 조회가 가능하도록 요청 드립니다.
혹 가족간에도 목록 열람을 비공개 원할시에는 통합 조회여부에 대해 선택할 수 있도록 하면 하면 될듯 합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-197259,"우리 아이들, 동네 아이들 안전하게 다닐수 있게 도와주세요!!!","우리 아이들, 동네 아이들 안전하게 다닐수 있게 도와주세요!!!",2024-10-15,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197259,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,출산·양육 직접 키워드 또는 조합 조건 미충족,"안녕하세요.
저는 서울시 노원구 월계동에 살고있는 두아이 아빠 입니다.
바로드릴 말씀은 동네벽이 너무 낙후되어 뜯어지고 곰팡이에 절여져서 귀신동네가 되었습니다.
특히 아이들이 친구들은 챙피하고 무서워서 친한친구들 초대도 못하고 특히 밤에는 나가지도 못하고 있습니다.
배달로 먹고사는 아빠로서는 그져 미안한 마음만 느끼고 있습니다.
건의 드리고져 하는 사항은 (노후된 벽을 좋은 그림을) 그려주셔서 성장하는 아이들에게 기분좋은 동네로 만들어 주세요.
힘없는 동네 아버지가 인자하시고 힘있는 오세훈 서울시장 아버님께 간곡히 부탁드립니다.
노후된 벽에 좋은 그림으로 우리 꿈나무들에게 희망을 주세요.
이런 말씀드려서 안될줄 알지만 깨알같은 작은 희망으로 말씀드립니다.
귀신동네 벽이 있는곳은
(서울특별시 노원구 석계로 27-1  입니다.
감사합니다. 늘 행복하세요.",웹크롤링 성공,검증용137_웹본문포함
PROP-197171,어린이보호구역 노인일자리,어린이보호구역 노인일자리,2024-10-07,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197171,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이보호구역에 기존 녹색어머니나 시니어 외, 시에서 노인 일자리 제공 일환으로 수시로 관리감독하게 하면 좋겠습니다
아이들의 안전도 지키고 노인 일자리도 생기고요",웹크롤링 성공,검증용137_웹본문포함
PROP-197002,어린이보호구역내 속도제한의 탄력조정운영제안,어린이보호구역내 속도제한의 탄력조정운영제안,2024-09-09,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=197002,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"1. 현재상황
현행 어린이보호구역 및 동종지역(이하 '어린이보호구역등') 내 차량속도는 30km이하로 제한되어 있고 단속을 하고 있는 실정입니다.
그 외 대부분의 도심지 차량속도는 50km이하로 제한되어 있고 단속을 하고 있습니다. 이러한 속도제한과 단속은 모두 교통사고 예방에 큰 역할을 하고 있는 좋은 규제입니다. 다만, 야심한 때, 공휴일에도 천편일율적으로 그대로 적용하는 것은 교통흐름에지장을 초래하는 불편으로 시민들의 불만이 큰 것도 현실입니다.
2. 제안사항
어린이보호구역등의 제한속도를 하교시간 이후인 18시 이후부터 심야시간대, 토요일 오후시간부터 심야시간대, 그리고 공휴일에는 도심지 제한속도인 50km로 탄력운영할 수 있도록 조정하여 주시길 제안합니다. 도심지내 제한속도인 50mk 정도면 상당히 안전한 속도로 볼 수 있으므로 시민불편을 최소화하는 방안으로써 적극 검토하여 주시기 바랍니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-196722,어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 전부 노란색으로 칠해 주세요.,어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 전부 노란색으로 칠해 주세요.,2024-07-25,2024,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196722,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"현황)
어린이 보호구역에서의 사고는 많이 일어나고 있습니다. 특히 운전자의 입장에서는 어린이 보호구역인지도 모르고 운전하는 경우가 많았습니다. 지금은 그나마 경찰청에서는 운전자가 어린이 보호구역에 진입했다는 것을 알수 있도록 어린이 보호구역이 시작되는 지점에는 기점 표시, 끝나는 지점에는 종점 표시를 아스팔트에 그리고 있습니다. 그런데 이게 실효성이 있을까요?
좀 더 눈에 확 들어오게 할 필요가 있습니다.
개선방안)
어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 노란색으로 칠하는 것입니다. 그러면 운전자의 입장에서는 어린이 보호구역에 진입했다는 것을 확실하게 알 수 있습니다. 어린이 보호구역에서 사고를 낸 운전자의 대부분은 자신이 어린이 보호구역에 진입했는지 몰랐다고 합니다. 그렇다면 어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 노란색으로 칠해서 온통 주변이 노란색으로 만들면 될 것입니다. 주변이 온통 노란색인데, 누가 속도를 높일까요?
도색비용이 많이 들 것을 우려하겠지만, 그 비용으로 어린이의 생명을 구하거나 부상을 예방할 수 있다면 세금이 효율적으로 사용되는 것이라 생각됩니다.
기대효과)
어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 노란색으로 칠하면 어린이 보호구역에서 사고를 낸 운전자의 대부분은 자신이 어린이 보호구역에 진입했는지 몰랐다고 하는 변명이 통하지 않을 것입니다. 그리고 그 보다도 어린이 보호구역에 진입을 인지하고 나서부터는 운전자들이 더 조심해서 운전할 것이고, 어린이 보호구역에서의 사고는 더 줄어들 것 입니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-195744,스쿨존 어린이 스마트폰 사용 제안,스쿨존 어린이 스마트폰 사용 제안,2024-03-18,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195744,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 스쿨존 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 스쿨존 중심이며 출산·양육 직접 맥락 부족","진짜 요즘에 스쿨존에서 크고 작은  아이들 교통사고가
교통단속과 단속카메라, 과속방지턱 등
차량의 안전운전을 위한 방안들도 중요하지만
최소한의 이동중에는 사용을 조금 제안 하여
안전에 좀더 신경쓸수 있도록
서울강서초등학교 앞에도 설치 부탁드립니다!!
민식이 법으로 운전자들도 힘듭니다
꼭 시행됐으면 좋겠습니다
스쿨존 보행안전 지킴이!! 가즈아",웹크롤링 성공,검증용137_웹본문포함
PROP-195192,어린이 보호구역 건널목,어린이 보호구역 건널목,2023-10-15,2023,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=195192,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이 보호구역에서의 횡단보도 건널목은
시인성과 경계심을 높히기 위해 노란색을 적용하였으면 합니다.",웹크롤링 성공,검증용137_웹본문포함
