proposal_id,title,issue_type,severity,detail,current_category,current_department,current_policies,recommendation
PROP-201278,서울시 공공자전거 따릉이 다자녀가구 할인 도입 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-201115,여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-201115,여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-201115,여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-201102,서울시 자치구별 다자녀 혜택의 문제점,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-201102,서울시 자치구별 다자녀 혜택의 문제점,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-201102,서울시 자치구별 다자녀 혜택의 문제점,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-200496,서울시 신혼부부 살림비 지원,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,신혼부부 결혼ㆍ살림비용 지원; 신혼희망타운; 신혼부부 전용 주택 구입 자금 대출; 신혼부부 임차보증금 이자 지원,본문 기준 수동 재검토
PROP-200427,경춘선 숲길에 아이들을 위한 미니 기차 놀이 시설을 설치해주세요,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-200411,서울시 신혼부부 결혼살림비 지원,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,신혼부부 결혼ㆍ살림비용 지원; 신혼희망타운; 신혼부부 전용 주택 구입 자금 대출; 신혼부부 임차보증금 이자 지원,본문 기준 수동 재검토
PROP-200129,예비 신혼부부를 위한 ‘서울시 미리내집’ 소득기준 개선 요청,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,신혼부부 결혼ㆍ살림비용 지원; 신혼희망타운; 신혼부부 전용 주택 구입 자금 대출; 신혼부부 임차보증금 이자 지원,본문 기준 수동 재검토
PROP-199706,불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-199629,유아차런 유아 참여 연령 상향,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,,본문 기준 수동 재검토
PROP-199348,"마루공원에 유아용 농구코트, 축구코트 설치",TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-199044,서울시 다자녀 할인 정책의 지역 제한 완화 요청,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-199044,서울시 다자녀 할인 정책의 지역 제한 완화 요청,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-199044,서울시 다자녀 할인 정책의 지역 제한 완화 요청,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-198861,아이들.청소년을위한공간들,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,가족지원팀,,본문 기준 수동 재검토
PROP-198843,과속방지카메라로 아이들의 안전을,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198713,마포구 대흥로20안길 어린이 보호구역 및 일방통행  지정 제안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198646,어린이보호구역 속도규제,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198483,어린이보호구역 야간 시간 해제,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198406,다자녀감면 시 공영주차장은 되고 자치구 내 공영주차장은 안되는 규제 해제,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-198406,다자녀감면 시 공영주차장은 되고 자치구 내 공영주차장은 안되는 규제 해제,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-198406,다자녀감면 시 공영주차장은 되고 자치구 내 공영주차장은 안되는 규제 해제,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-198288,다자녀 아이들 혜택,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-198265,서울시 공영주차장 다자녀 감면 혜택 확대 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-198265,서울시 공영주차장 다자녀 감면 혜택 확대 제안,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-198243,다자녀 적용 범위 동일 적용,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-198243,다자녀 적용 범위 동일 적용,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-198203,야간 어린이 보호구역 30km속도제한 해제,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198192,다자녀관련 공영주차장요금 할인,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-198192,다자녀관련 공영주차장요금 할인,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-198192,다자녀관련 공영주차장요금 할인,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-198063,자녀수와 연계한 보증금지원형 장기안심주택 지원 세분화,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-198050,지하철역사내 유휴공간을 활용한 고객휴개실 또는 육아실 조성 제안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,임산부 배려공간 조성,본문 기준 수동 재검토
PROP-197999,어린이보호구역,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197934,어린이보호구역,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197918,어린이보호구역 시간제 운영,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197901,도서관 가족회원 통합의 건,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197873,청년안심주택 반려동물 양육 및 출입금지 규정 폐지 요청드립니다.,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197702,다자녀 서울런 확대 강력히 요청합니다,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-197702,다자녀 서울런 확대 강력히 요청합니다,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-197702,다자녀 서울런 확대 강력히 요청합니다,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-197676,애완견 외출시 기저귀 채워 주세요,TAG_REVIEW,medium,"현재 태그=다자녀·양육비·생활지원, 태그 핵심어 약함",다자녀·양육비·생활지원,저출생사업1팀,,본문 기준 수동 재검토
PROP-197295,어린이 등하굣길 교통안전지도 사업제안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,영아 전담 아이돌봄서비스; 외국인 가사(육아)인력 시범사업; 1인 자영업자 등 배우자 출산휴가급여 지원; 1인 자영업자?프리랜서 배우자 출산휴가 지원금; 서울시 중소기업 워라밸 포인트제,본문 기준 수동 재검토
PROP-197259,"우리 아이들, 동네 아이들 안전하게 다닐수 있게 도와주세요!!!",TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197171,어린이보호구역 노인일자리,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-197002,어린이보호구역내 속도제한의 탄력조정운영제안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-196829,우리 아이들이 안전하게 자랄 수 있도록 사당 15구역 재개발 추진해 주세요.,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-196722,어린이 보호 구역 시점과 종점 바닥 그리고 어린이 보호구역에 있는 방호 울타리를 전부 노란색으로 칠해 주세요.,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-196601,서울런 다자녀 혜택,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-196601,서울런 다자녀 혜택,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-196434,고등학생 하원 택시 운영제도,TAG_REVIEW,medium,"현재 태그=보육·돌봄 인프라, 태그 핵심어 약함",보육·돌봄 인프라,돌봄사업팀,,본문 기준 수동 재검토
PROP-196158,영유아 부모 우대 교통 정책,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195744,스쿨존 어린이 스마트폰 사용 제안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195684,유급 육아시간 확대 사용 건의,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195676,서울런 다자녀 확대 시기,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-195676,서울런 다자녀 확대 시기,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-195671,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-195671,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-195671,[제도개선]다자녀 가정의 시·도 간 주차요금 감면 혜택 제도적 보완 제안,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-195657,다자녀 할인 확대,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-195657,다자녀 할인 확대,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-195491,휘경2동 아이들을 위한 시설을 만들어 주세요,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195464,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-195464,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-195464,구에서 운영하는 체육시설에 대해 다자녀 3명 → 2명으로 변경 제한 드립니다.,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-195192,어린이 보호구역 건널목,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195163,어린이보호구역내 교통사고 방지를 위한 교통시설물 변경설치 및 작업제한,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195147,흡연에 대한 경범죄로 추가 제안. 아이와 시민들의 건강과 올바른 흡연습관을 위해 제안합니다.,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-195084,실효성없는 신혼부부 대상 정책 개선 부탁드립니다,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,신혼부부 결혼ㆍ살림비용 지원; 신혼희망타운; 신혼부부 전용 주택 구입 자금 대출; 신혼부부 임차보증금 이자 지원,본문 기준 수동 재검토
PROP-195015,세자녀 이상 행복주택 거주기간 연장관련,TAG_REVIEW,medium,"현재 태그=다자녀·양육비·생활지원, 태그 핵심어 약함",다자녀·양육비·생활지원,저출생사업1팀,,본문 기준 수동 재검토
PROP-194958,용산가족공원 내 잔디 운동장 트랙부분 모래 깔아주세요,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-194851,혼인신고서의 &#39;성·본의 협의&#39;를 출생신고에서 하도록 변경하는 것을 건의드립니다.,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-194771,서울시 신혼부부 이자지원 사업 한도 증액 허용 요청,TAG_REVIEW,medium,"현재 태그=주거·교통·도시생활환경, 태그 핵심어 약함",주거·교통·도시생활환경,저출생사업1팀,신혼부부 결혼ㆍ살림비용 지원; 신혼희망타운; 신혼부부 전용 주택 구입 자금 대출; 신혼부부 임차보증금 이자 지원,본문 기준 수동 재검토
PROP-194713,다자녀가구 자동차 취득세 감면혜택 완화요청(5인승 이상으로),POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-194674,영유아 부모에 대한 주차비용 지원(영유아 동반시),TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-194620,서울시 관내의 모유수유시설의 한글 명칭과 영문 명칭 통일 해 주세요.,TAG_REVIEW,medium,"현재 태그=출산·산후 초기지원, 태그 핵심어 약함",출산·산후 초기지원,가족건강팀,,본문 기준 수동 재검토
PROP-194407,스쿨존 교통사고 발생시 피해아동에게 실질적 피해보상안,TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-194379,"아이들이 안전하게 걸어 다닐 수 있는 서울을 만들어주세요.(음주운전, 길거리 흡연 관련)",TAG_REVIEW,medium,"현재 태그=정보·상담·교육·거버넌스, 태그 핵심어 약함",정보·상담·교육·거버넌스,저출생사업1팀,,본문 기준 수동 재검토
PROP-194332,서울런 이용자에 다자녀 가정의 추가를 건의합니다.,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
PROP-194332,서울런 이용자에 다자녀 가정의 추가를 건의합니다.,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀 가구 자동차 취득세 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 자동차 취득세 감면,자동 제거 완료
PROP-194332,서울런 이용자에 다자녀 가정의 추가를 건의합니다.,POLICY_REMOVED,high,차량 취득세 요구가 아닌 제안에 취득세 정책 후보: 다자녀가구 자동차 취득세 취약계층 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀가구 자동차 취득세 취약계층 감면,자동 제거 완료
PROP-194248,다자녀혜택 교육도(서울런) 확대부탁드립니다,POLICY_REMOVED,high,공공요금 감면 요구가 아닌 제안에 공공요금 정책 후보: 다자녀 가구 하수도사용료 감면,다자녀·양육비·생활지원,저출생사업1팀,다자녀 가구 하수도사용료 감면,자동 제거 완료
